flight_id,drone_id,battery_id,launch_timestamp,duration_min,destination_hospital,destination_district,dest_lat,dest_lon,distance_km,payload_g,blood_product,weather,outcome,battery_pct_end
FLT-00038,ZIP-13,BAT-1270,2023-04-27 12:24:43,116.6,Byumba District Hospital,Gicumbi,-1.5833,30.0667,74.78,419,Packed Red Cells,Clear,Delivered,35
FLT-00039,ZIP-30,BAT-1703,2023-08-24 03:25:21,84.3,Kabutare District Hospital,Huye,-2.5833,29.7333,57.09,740,Platelets,Overcast,Delivered,34
FLT-00040,ZIP-20,BAT-1003,2023-02-06 02:17:02,26.7,Kabgayi District Hospital,Muhanga,-2.02,29.75,16.4,1779,Packed Red Cells,Overcast,Delivered,58
FLT-00041,ZIP-13,BAT-1009,2023-03-05 00:03:11,88.6,Kabutare District Hospital,Huye,-2.5833,29.7333,57.09,354,Packed Red Cells,Foggy,Returned - Technical,52
FLT-00042,ZIP-19,BAT-1042,2023-11-21 08:59:21,24.6,Kabgayi District Hospital,Muhanga,-2.02,29.75,16.4,946,Whole Blood,Foggy,Delivered,40
FLT-00043,ZIP-27,BAT-1798,2023-09-23 03:19:20,34.6,Ruhango District Hospital,Ruhango,-2.2167,29.7833,23.72,1032,Packed Red Cells,Clear,Delivered,33
FLT-00044,ZIP-20,BAT-1946,2023-11-07 21:29:14,39.1,Ruhango District Hospital,Ruhango,-2.2167,29.7833,23.72,1043,Packed Red Cells,Light Rain,Returned - Weather,35
FLT-00045,ZIP-17,BAT-1481,2023-11-03 00:51:44,38.2,Ruhango District Hospital,Ruhango,-2.2167,29.7833,23.72,608,Platelets,Light Rain,Returned - Weather,40
FLT-00046,ZIP-16,BAT-1024,2023-11-15 21:57:12,89.0,Kabutare District Hospital,Huye,-2.5833,29.7333,57.09,1016,Fresh Frozen Plasma,Partly Cloudy,Delivered,35
FLT-00047,ZIP-27,BAT-1863,2023-10-28 13:55:36,23.8,Kabgayi District Hospital,Muhanga,-2.02,29.75,16.4,878,Whole Blood,Foggy,Delivered,25
FLT-00048,ZIP-29,BAT-1111,2023-03-11 14:22:21,87.3,Kabutare District Hospital,Huye,-2.5833,29.7333,57.09,1089,Fresh Frozen Plasma,Overcast,Delivered,64
FLT-00049,ZIP-16,BAT-1590,2023-06-19 17:29:08,87.5,Kabutare District Hospital,Huye,-2.5833,29.7333,57.09,721,Whole Blood,Foggy,Delivered,63
FLT-00050,ZIP-16,BAT-1759,2023-01-01 21:45:49,101.9,Kibogora Hospital,Nyamasheke,-2.3333,29.0667,67.14,945,Platelets,Foggy,Returned - Technical,22
FLT-00051,ZIP-13,BAT-1868,2023-12-24 20:12:23,137.6,Rwamagana District Hospital,Rwamagana,-1.95,30.4333,91.95,1674,Fresh Frozen Plasma,Overcast,Returned - Technical,50
FLT-00052,ZIP-16,BAT-1130,2023-09-17 05:53:32,85.9,Kabutare District Hospital,Huye,-2.5833,29.7333,57.09,1061,Platelets,Light Rain,Returned - Weather,61
FLT-00053,ZIP-10,BAT-1853,2023-12-17 20:45:27,136.3,Rwamagana District Hospital,Rwamagana,-1.95,30.4333,91.95,822,Fresh Frozen Plasma,Foggy,Delivered,31
FLT-00054,ZIP-24,BAT-1452,2023-11-02 09:48:11,102.3,Kibogora Hospital,Nyamasheke,-2.3333,29.0667,67.14,1583,Packed Red Cells,Overcast,Delivered,50
FLT-00055,ZIP-19,BAT-1086,2023-11-05 12:09:00,104.9,Kibogora Hospital,Nyamasheke,-2.3333,29.0667,67.14,1255,Fresh Frozen Plasma,Partly Cloudy,Returned - Technical,23
FLT-00056,ZIP-11,BAT-1025,2023-09-19 12:54:36,35.1,Ruhango District Hospital,Ruhango,-2.2167,29.7833,23.72,701,Platelets,Partly Cloudy,Delivered,57
FLT-00057,ZIP-25,BAT-1393,2023-06-27 02:47:10,24.9,Kabgayi District Hospital,Muhanga,-2.02,29.75,16.4,1018,Packed Red Cells,Foggy,Delivered,27
FLT-00058,ZIP-17,BAT-1435,2023-09-25 07:06:19,135.0,Rwamagana District Hospital,Rwamagana,-1.95,30.4333,91.95,560,Platelets,Clear,Partial Delivery,21
FLT-00059,ZIP-24,BAT-1136,2023-04-08 00:41:46,116.5,Byumba District Hospital,Gicumbi,-1.5833,30.0667,74.78,1567,Fresh Frozen Plasma,Clear,Delivered,66
FLT-00060,ZIP-24,BAT-1561,2023-08-27 04:20:00,104.2,Kibogora Hospital,Nyamasheke,-2.3333,29.0667,67.14,525,Platelets,Foggy,Delivered,46
FLT-00061,ZIP-26,BAT-1796,2023-10-20 05:04:03,84.6,Kabutare District Hospital,Huye,-2.5833,29.7333,57.09,1192,Packed Red Cells,Overcast,Partial Delivery,35
FLT-00062,ZIP-20,BAT-1343,2023-01-31 08:11:49,103.4,Kibogora Hospital,Nyamasheke,-2.3333,29.0667,67.14,1306,Whole Blood,Partly Cloudy,Delivered,26
FLT-00063,ZIP-12,BAT-1219,2023-04-01 01:30:47,35.6,Ruhango District Hospital,Ruhango,-2.2167,29.7833,23.72,1049,Platelets,Partly Cloudy,Returned - Technical,39
FLT-00064,ZIP-22,BAT-1430,2023-07-01 04:43:45,112.5,Byumba District Hospital,Gicumbi,-1.5833,30.0667,74.78,1776,Whole Blood,Partly Cloudy,Partial Delivery,72
FLT-00065,ZIP-22,BAT-1771,2023-05-28 23:24:29,113.0,Byumba District Hospital,Gicumbi,-1.5833,30.0667,74.78,1058,Packed Red Cells,Overcast,Delivered,49
FLT-00066,ZIP-22,BAT-1344,2023-04-17 05:56:29,36.1,Ruhango District Hospital,Ruhango,-2.2167,29.7833,23.72,1683,Packed Red Cells,Clear,Delivered,71
FLT-00067,ZIP-28,BAT-1403,2023-12-24 08:44:56,98.7,Kibogora Hospital,Nyamasheke,-2.3333,29.0667,67.14,1355,Whole Blood,Foggy,Returned - Weather,23
FLT-00068,ZIP-20,BAT-1388,2023-06-16 16:57:38,136.0,Rwamagana District Hospital,Rwamagana,-1.95,30.4333,91.95,633,Platelets,Light Rain,Returned - Weather,38
FLT-00069,ZIP-23,BAT-1974,2023-10-23 21:10:30,89.7,Kabutare District Hospital,Huye,-2.5833,29.7333,57.09,716,Whole Blood,Overcast,Partial Delivery,48
FLT-00070,ZIP-12,BAT-1665,2023-10-19 03:24:43,25.9,Kabgayi District Hospital,Muhanga,-2.02,29.75,16.4,1799,Whole Blood,Overcast,Delivered,66
FLT-00071,ZIP-17,BAT-1156,2023-04-07 06:50:50,23.2,Kabgayi District Hospital,Muhanga,-2.02,29.75,16.4,458,Platelets,Clear,Returned - Weather,60
FLT-00072,ZIP-15,BAT-1377,2023-08-08 06:34:38,29.2,Kabgayi District Hospital,Muhanga,-2.02,29.75,16.4,1440,Whole Blood,Light Rain,Returned - Weather,67
FLT-00073,ZIP-22,BAT-1589,2023-05-02 01:05:34,33.4,Ruhango District Hospital,Ruhango,-2.2167,29.7833,23.72,1012,Packed Red Cells,Clear,Delivered,22
FLT-00074,ZIP-19,BAT-1713,2023-09-26 10:59:34,115.8,Byumba District Hospital,Gicumbi,-1.5833,30.0667,74.78,1601,Whole Blood,Partly Cloudy,Delivered,68
FLT-00075,ZIP-26,BAT-1070,2023-11-01 04:41:24,109.5,Byumba District Hospital,Gicumbi,-1.5833,30.0667,74.78,1526,Fresh Frozen Plasma,Foggy,Delivered,18
FLT-00076,ZIP-24,BAT-1848,2023-11-16 14:40:46,101.6,Kibogora Hospital,Nyamasheke,-2.3333,29.0667,67.14,1648,Packed Red Cells,Light Rain,Delivered,45
FLT-00077,ZIP-27,BAT-1827,2023-10-13 05:28:04,36.8,Ruhango District Hospital,Ruhango,-2.2167,29.7833,23.72,1786,Platelets,Overcast,Returned - Weather,47
FLT-00078,ZIP-17,BAT-1872,2023-11-17 22:24:15,103.6,Kibogora Hospital,Nyamasheke,-2.3333,29.0667,67.14,377,Fresh Frozen Plasma,Overcast,Delivered,46
FLT-00079,ZIP-25,BAT-1029,2023-10-19 16:56:45,36.3,Ruhango District Hospital,Ruhango,-2.2167,29.7833,23.72,865,Packed Red Cells,Foggy,Returned - Technical,49
FLT-00080,ZIP-29,BAT-1901,2023-05-19 01:12:30,39.0,Ruhango District Hospital,Ruhango,-2.2167,29.7833,23.72,1636,Fresh Frozen Plasma,Overcast,Delivered,53
FLT-00081,ZIP-23,BAT-1737,2023-07-20 21:18:53,29.2,Kabgayi District Hospital,Muhanga,-2.02,29.75,16.4,1200,Packed Red Cells,Clear,Delivered,62
FLT-00082,ZIP-17,BAT-1301,2023-09-09 02:15:04,103.4,Kibogora Hospital,Nyamasheke,-2.3333,29.0667,67.14,1028,Packed Red Cells,Light Rain,Returned - Weather,37
FLT-00083,ZIP-27,BAT-1763,2023-08-15 02:29:27,137.9,Rwamagana District Hospital,Rwamagana,-1.95,30.4333,91.95,877,Fresh Frozen Plasma,Foggy,Returned - Weather,62
FLT-00084,ZIP-16,BAT-1738,2023-04-16 11:07:26,100.2,Kibogora Hospital,Nyamasheke,-2.3333,29.0667,67.14,846,Whole Blood,Partly Cloudy,Delivered,65
FLT-00085,ZIP-25,BAT-1756,2023-10-24 06:07:19,114.7,Byumba District Hospital,Gicumbi,-1.5833,30.0667,74.78,766,Fresh Frozen Plasma,Partly Cloudy,Delivered,24
FLT-00086,ZIP-27,BAT-1014,2023-04-26 07:13:01,34.4,Ruhango District Hospital,Ruhango,-2.2167,29.7833,23.72,459,Fresh Frozen Plasma,Partly Cloudy,Delivered,20
FLT-00087,ZIP-25,BAT-1889,2023-08-04 03:40:45,23.9,Kabgayi District Hospital,Muhanga,-2.02,29.75,16.4,410,Whole Blood,Partly Cloudy,Returned - Technical,54
FLT-00088,ZIP-11,BAT-1988,2023-07-02 13:05:47,86.5,Kabutare District Hospital,Huye,-2.5833,29.7333,57.09,717,Platelets,Overcast,Delivered,25
FLT-00089,ZIP-14,BAT-1155,2023-06-05 20:51:50,25.5,Kabgayi District Hospital,Muhanga,-2.02,29.75,16.4,1352,Fresh Frozen Plasma,Foggy,Returned - Technical,23
FLT-00090,ZIP-17,BAT-1633,2023-02-16 06:02:54,37.0,Ruhango District Hospital,Ruhango,-2.2167,29.7833,23.72,1788,Platelets,Light Rain,Returned - Weather,46
FLT-00091,ZIP-29,BAT-1061,2023-04-26 17:31:55,104.6,Kibogora Hospital,Nyamasheke,-2.3333,29.0667,67.14,1715,Whole Blood,Light Rain,Delivered,66
FLT-00092,ZIP-15,BAT-1245,2023-09-01 04:13:21,34.3,Ruhango District Hospital,Ruhango,-2.2167,29.7833,23.72,1330,Whole Blood,Clear,Delivered,28
FLT-00093,ZIP-19,BAT-1237,2023-06-08 21:39:35,25.2,Kabgayi District Hospital,Muhanga,-2.02,29.75,16.4,1647,Fresh Frozen Plasma,Foggy,Returned - Weather,62
FLT-00094,ZIP-30,BAT-1810,2023-01-28 21:26:36,103.2,Kibogora Hospital,Nyamasheke,-2.3333,29.0667,67.14,1407,Packed Red Cells,Overcast,Partial Delivery,45
FLT-00095,ZIP-14,BAT-1846,2023-07-31 17:41:21,23.4,Kabgayi District Hospital,Muhanga,-2.02,29.75,16.4,346,Whole Blood,Partly Cloudy,Delivered,28
FLT-00096,ZIP-19,BAT-1479,2023-08-20 08:12:44,88.6,Kabutare District Hospital,Huye,-2.5833,29.7333,57.09,1633,Platelets,Foggy,Delivered,35
FLT-00097,ZIP-23,BAT-1040,2023-07-29 22:59:34,113.1,Byumba District Hospital,Gicumbi,-1.5833,30.0667,74.78,1704,Fresh Frozen Plasma,Clear,Returned - Weather,56
FLT-00098,ZIP-18,BAT-1783,2023-01-11 07:04:41,83.4,Kabutare District Hospital,Huye,-2.5833,29.7333,57.09,1380,Whole Blood,Foggy,Returned - Weather,66
FLT-00099,ZIP-23,BAT-1599,2023-07-02 23:23:07,36.7,Ruhango District Hospital,Ruhango,-2.2167,29.7833,23.72,1500,Platelets,Light Rain,Returned - Weather,23
FLT-00100,ZIP-15,BAT-1107,2023-05-16 09:13:55,101.0,Kibogora Hospital,Nyamasheke,-2.3333,29.0667,67.14,875,Platelets,Overcast,Returned - Technical,62
FLT-00101,ZIP-24,BAT-1037,2023-04-23 04:23:04,103.0,Kibogora Hospital,Nyamasheke,-2.3333,29.0667,67.14,380,Fresh Frozen Plasma,Light Rain,Partial Delivery,34
FLT-00102,ZIP-27,BAT-1001,2023-02-15 06:28:03,90.4,Kabutare District Hospital,Huye,-2.5833,29.7333,57.09,1146,Platelets,Light Rain,Partial Delivery,21
FLT-00103,ZIP-16,BAT-1052,2023-07-21 14:12:19,35.5,Ruhango District Hospital,Ruhango,-2.2167,29.7833,23.72,746,Packed Red Cells,Light Rain,Returned - Technical,36
FLT-00104,ZIP-30,BAT-1996,2023-12-09 08:05:07,103.3,Kibogora Hospital,Nyamasheke,-2.3333,29.0667,67.14,1446,Packed Red Cells,Clear,Delivered,63
FLT-00105,ZIP-13,BAT-1861,2023-05-01 22:24:04,37.0,Ruhango District Hospital,Ruhango,-2.2167,29.7833,23.72,1145,Whole Blood,Foggy,Returned - Weather,59
FLT-00106,ZIP-18,BAT-1722,2023-07-13 19:11:46,40.0,Ruhango District Hospital,Ruhango,-2.2167,29.7833,23.72,1050,Platelets,Overcast,Returned - Weather,48
FLT-00107,ZIP-14,BAT-1520,2023-06-27 15:33:30,37.0,Ruhango District Hospital,Ruhango,-2.2167,29.7833,23.72,342,Fresh Frozen Plasma,Light Rain,Delivered,67
FLT-00108,ZIP-19,BAT-1289,2023-05-13 05:52:00,105.2,Kibogora Hospital,Nyamasheke,-2.3333,29.0667,67.14,1402,Platelets,Foggy,Delivered,27
FLT-00109,ZIP-27,BAT-1781,2023-07-29 09:56:05,101.6,Kibogora Hospital,Nyamasheke,-2.3333,29.0667,67.14,972,Platelets,Overcast,Returned - Weather,38
FLT-00110,ZIP-11,BAT-1420,2023-09-29 03:09:23,34.5,Ruhango District Hospital,Ruhango,-2.2167,29.7833,23.72,851,Platelets,Light Rain,Delivered,63
FLT-00111,ZIP-11,BAT-1987,2023-05-31 04:30:53,105.6,Kibogora Hospital,Nyamasheke,-2.3333,29.0667,67.14,458,Fresh Frozen Plasma,Partly Cloudy,Delivered,24
FLT-00112,ZIP-30,BAT-1419,2023-02-08 23:22:49,101.9,Kibogora Hospital,Nyamasheke,-2.3333,29.0667,67.14,516,Whole Blood,Light Rain,Delivered,48
FLT-00113,ZIP-27,BAT-1336,2023-05-12 17:37:09,87.6,Kabutare District Hospital,Huye,-2.5833,29.7333,57.09,978,Fresh Frozen Plasma,Light Rain,Returned - Weather,58
FLT-00114,ZIP-30,BAT-1240,2023-12-11 21:31:40,141.0,Rwamagana District Hospital,Rwamagana,-1.95,30.4333,91.95,1601,Fresh Frozen Plasma,Foggy,Delivered,32
FLT-00115,ZIP-13,BAT-1648,2023-02-05 08:23:47,138.4,Rwamagana District Hospital,Rwamagana,-1.95,30.4333,91.95,1108,Packed Red Cells,Clear,Partial Delivery,62
FLT-00116,ZIP-19,BAT-1057,2023-12-18 02:31:21,82.9,Kabutare District Hospital,Huye,-2.5833,29.7333,57.09,934,Fresh Frozen Plasma,Overcast,Partial Delivery,45
FLT-00117,ZIP-15,BAT-1174,2023-04-06 02:05:06,36.8,Ruhango District Hospital,Ruhango,-2.2167,29.7833,23.72,361,Platelets,Foggy,Returned - Technical,57
FLT-00118,ZIP-18,BAT-1653,2023-04-04 18:41:46,138.9,Rwamagana District Hospital,Rwamagana,-1.95,30.4333,91.95,1141,Fresh Frozen Plasma,Foggy,Returned - Weather,60
FLT-00119,ZIP-15,BAT-1559,2023-12-16 08:26:05,28.0,Kabgayi District Hospital,Muhanga,-2.02,29.75,16.4,351,Platelets,Overcast,Returned - Technical,40
FLT-00120,ZIP-19,BAT-1865,2023-04-27 10:19:10,114.3,Byumba District Hospital,Gicumbi,-1.5833,30.0667,74.78,607,Platelets,Light Rain,Returned - Weather,72
FLT-00121,ZIP-19,BAT-1716,2023-02-11 16:04:49,99.6,Kibogora Hospital,Nyamasheke,-2.3333,29.0667,67.14,244,Platelets,Foggy,Delivered,35
FLT-00122,ZIP-25,BAT-1763,2023-08-09 00:50:26,28.5,Kabgayi District Hospital,Muhanga,-2.02,29.75,16.4,786,Packed Red Cells,Clear,Returned - Weather,56
FLT-00123,ZIP-14,BAT-1738,2023-03-27 07:16:12,87.7,Kabutare District Hospital,Huye,-2.5833,29.7333,57.09,1486,Whole Blood,Foggy,Delivered,58
FLT-00124,ZIP-14,BAT-1749,2023-01-16 13:26:42,137.4,Rwamagana District Hospital,Rwamagana,-1.95,30.4333,91.95,384,Fresh Frozen Plasma,Light Rain,Delivered,38
FLT-00125,ZIP-21,BAT-1552,2023-06-11 14:46:10,136.3,Rwamagana District Hospital,Rwamagana,-1.95,30.4333,91.95,1287,Fresh Frozen Plasma,Partly Cloudy,Partial Delivery,71
FLT-00126,ZIP-20,BAT-1891,2023-04-11 01:08:05,39.9,Ruhango District Hospital,Ruhango,-2.2167,29.7833,23.72,435,Platelets,Light Rain,Returned - Weather,22
FLT-00127,ZIP-12,BAT-1374,2023-10-21 03:12:04,40.3,Ruhango District Hospital,Ruhango,-2.2167,29.7833,23.72,1008,Whole Blood,Light Rain,Partial Delivery,34
FLT-00128,ZIP-30,BAT-1390,2023-02-18 05:55:49,112.8,Byumba District Hospital,Gicumbi,-1.5833,30.0667,74.78,960,Whole Blood,Overcast,Returned - Weather,61
FLT-00129,ZIP-30,BAT-1226,2023-07-03 08:28:58,32.8,Ruhango District Hospital,Ruhango,-2.2167,29.7833,23.72,329,Platelets,Foggy,Delivered,62
FLT-00130,ZIP-11,BAT-1968,2023-09-10 09:21:00,85.9,Kabutare District Hospital,Huye,-2.5833,29.7333,57.09,823,Platelets,Partly Cloudy,Delivered,25
FLT-00131,ZIP-21,BAT-1464,2023-04-02 10:29:41,28.7,Kabgayi District Hospital,Muhanga,-2.02,29.75,16.4,1573,Platelets,Partly Cloudy,Delivered,55
FLT-00132,ZIP-29,BAT-1501,2023-10-10 10:23:41,136.2,Rwamagana District Hospital,Rwamagana,-1.95,30.4333,91.95,1035,Fresh Frozen Plasma,Light Rain,Returned - Weather,20
FLT-00133,ZIP-21,BAT-1101,2023-05-25 03:35:22,136.7,Rwamagana District Hospital,Rwamagana,-1.95,30.4333,91.95,1315,Fresh Frozen Plasma,Light Rain,Delivered,21
FLT-00134,ZIP-24,BAT-1843,2023-04-18 09:24:05,99.2,Kibogora Hospital,Nyamasheke,-2.3333,29.0667,67.14,387,Packed Red Cells,Clear,Partial Delivery,59
FLT-00135,ZIP-17,BAT-1341,2023-08-21 03:48:13,142.7,Rwamagana District Hospital,Rwamagana,-1.95,30.4333,91.95,457,Packed Red Cells,Clear,Partial Delivery,22
FLT-00136,ZIP-14,BAT-1792,2023-03-22 16:50:47,113.9,Byumba District Hospital,Gicumbi,-1.5833,30.0667,74.78,1420,Whole Blood,Partly Cloudy,Delivered,35
FLT-00137,ZIP-10,BAT-1676,2023-02-20 17:36:52,36.9,Ruhango District Hospital,Ruhango,-2.2167,29.7833,23.72,469,Whole Blood,Partly Cloudy,Delivered,40
FLT-00138,ZIP-14,BAT-1053,2023-08-17 22:30:25,35.2,Ruhango District Hospital,Ruhango,-2.2167,29.7833,23.72,1719,Platelets,Partly Cloudy,Delivered,51
FLT-00139,ZIP-13,BAT-1607,2023-10-17 20:06:14,22.1,Kabgayi District Hospital,Muhanga,-2.02,29.75,16.4,1125,Packed Red Cells,Light Rain,Partial Delivery,57
FLT-00140,ZIP-10,BAT-1987,2023-10-10 16:23:45,27.9,Kabgayi District Hospital,Muhanga,-2.02,29.75,16.4,324,Platelets,Foggy,Delivered,72
FLT-00141,ZIP-12,BAT-1075,2023-06-15 19:09:29,103.2,Kibogora Hospital,Nyamasheke,-2.3333,29.0667,67.14,859,Packed Red Cells,Light Rain,Returned - Technical,22
FLT-00142,ZIP-29,BAT-1390,2023-04-18 01:20:05,37.6,Ruhango District Hospital,Ruhango,-2.2167,29.7833,23.72,1286,Fresh Frozen Plasma,Foggy,Returned - Weather,47
FLT-00143,ZIP-30,BAT-1670,2023-08-24 08:59:12,112.6,Byumba District Hospital,Gicumbi,-1.5833,30.0667,74.78,1774,Packed Red Cells,Clear,Partial Delivery,45
FLT-00144,ZIP-22,BAT-1464,2023-12-12 03:36:29,99.5,Kibogora Hospital,Nyamasheke,-2.3333,29.0667,67.14,1051,Whole Blood,Overcast,Partial Delivery,38
FLT-00145,ZIP-25,BAT-1703,2023-05-02 14:55:50,103.0,Kibogora Hospital,Nyamasheke,-2.3333,29.0667,67.14,337,Whole Blood,Overcast,Delivered,71
